month,encounters,client_hours,revenue,revenue_per_hour,revenue_per_encounter
2023-04-01,80,27.366666666666667,4200.0,153.47137637028015,52.5
2023-05-01,145,46.78333333333333,7612.5,162.71820448877807,52.5
2023-06-01,141,49.333333333333336,7402.5,150.05067567567568,52.5
2023-07-01,136,53.03333333333333,7140.0,134.63230672532998,52.5
2023-08-01,165,78.61666666666666,7020.0,89.29404282382872,42.54545454545455
2023-09-01,91,85.23333333333333,8586.0,100.73523660539695,94.35164835164835
2023-10-01,94,89.93333333333334,9301.5,103.42661230541141,98.95212765957447
2023-11-01,86,85.45,8957.0,104.82153306026916,104.15116279069767
2023-12-01,77,80.25,8400.5,104.6791277258567,109.09740259740259
2024-01-01,83,92.01666666666667,9672.5,105.11682666183663,116.53614457831326
2024-02-01,91,96.6,10229.0,105.89026915113872,112.4065934065934
2024-03-01,89,99.25,10520.5,106.0,118.20786516853933
2024-04-01,78,88.25,9354.5,106.0,119.92948717948718
2024-05-01,91,105.5,11183.0,106.0,122.89010989010988
2024-06-01,77,82.75,8771.5,106.0,113.91558441558442
2024-07-01,77,84.75,8983.5,106.0,116.66883116883118
2024-08-01,87,95.75,10149.0,105.99477806788512,116.65517241379311
2024-09-01,82,91.5,9699.0,106.0,118.28048780487805
2024-10-01,89,99.5,10547.0,106.0,118.50561797752809
2024-11-01,80,89.75,9513.5,106.0,118.91875
2024-12-01,76,89.0,9434.0,106.0,124.13157894736842
2025-01-01,91,103.5,10971.0,106.0,120.56043956043956
2025-02-01,72,85.25,9036.5,106.0,125.50694444444444
2025-03-01,72,87.25,9248.5,106.0,128.45138888888889
2025-04-01,62,66.25,7022.5,106.0,113.26612903225806
